type,ticker,name,uid,figi,currency
indicative,RUSFAR1W,RUSFAR1W 1 неделя,cf8599ea-b002-4b77-a084-62227cc88283,BBG0RUSFAR1W,
indicative,RUGBICP5Y7Y,RUGBICP5Y7Y,6fc44b9c-2569-4677-8ef5-2e22488901fa,RUGBICP5Y7Y0,
indicative,N225,Nikkei 225,d31d60b7-f55b-4c41-a036-7773cc709cd4,BBG000W4N225,
indicative,MOEXFN,MOEXFN,abaaa0fe-472d-4240-9679-144dd382e6ce,BBG000X1GM13,
indicative,MOEXCN,MOEXCN,7ad47d78-8e53-4b52-a2ef-c0b7ab580850,BBG000Z57C41,
indicative,RUCBRNCP,RUCBRNCP,f6812661-76df-4024-b786-f17ae60a6d3b,RUCBRNCP0000,
indicative,IMOEX2,Индекс МосБиржи (доп. сессия),83ef5122-e41e-4cf4-bbe4-b11a2b3f953e,BBG00KDWPPW3,
indicative,NDX,Nasdaq 100,3cdf2d90-0d35-419c-8c65-ebb6ad165691,BBG000KKFC45,
indicative,RUSFAR2W,RUSFAR2W 2 недели,01ed55ab-8b1c-45d2-ba43-39ae8d278d43,BBG0RUSFAR2W,
indicative,RUSFAR1M,RUSFAR1M 1 месяц,adb2f3a5-e73f-4b40-9aed-4c0bb376e1dc,BBG0RUSFAR1M,
indicative,RGBITR,RGBITR,8324e2c7-10a5-4f62-aa36-9c5c8a9bb062,BBG000V0SJT1,
indicative,RTSI,Индекс РТС,3bc0de7f-4704-4c08-8112-6cd4fad7743c,BBG000NJ9048,
indicative,RUCBKEYTR,RUCBKEYTR,5c86c663-f49f-44d2-bf2a-d02bee55c857,RUCBKEYTR000,
indicative,EUR/USD,Курс EUR/USD,980156e9-4f81-4ee2-af21-895b57a2b1bf,BBG00RQ16FH1,
indicative,TYX,Treasury Yield 30 Years,47ec49b2-b199-4e59-b5ed-841bf1a0da5a,BBGFAKETYX00,
indicative,MREDC,MREDC,6b194e42-609b-4b71-920b-e85a608ca987,,
indicative,RUGBITR5Y7Y,RUGBITR5Y7Y,019db6fe-d238-4aff-ab5e-6dad4b4ddb70,RUGBITR5Y7Y0,
indicative,MOEXETH,Индекс Эфириума,ddb32d72-9c39-4e6c-8970-e9a90c470d72,BBG00MOEXETH,
indicative,FTSE,FTSE 100,76a462f6-1258-43d6-ac7f-00d1a9cc3484,BBG000W4HTR4,
indicative,RUSFARCNY,RUSFARCNY,d8303c0f-a7d3-4581-ad1a-30f9142dbc58,BBGRUSFARCNY,
indicative,RUFLBITR,RUFLBITR,79de0b18-59aa-49e0-b401-443570bef2ac,RUFLBITR0000,
indicative,STOXX,STOXX 600,8961920c-35c8-4db1-a577-1f2939cc39f8,BBG000W4HTSX,
indicative,TNX,Treasury Yield 10 Years,b88992ba-59d7-4c95-8d75-e57976bd382e,BBGFAKETNX00,
indicative,HSI,Hang Seng Index,1077dfbc-3402-4797-9aa8-05c00ae17818,BBG000JFV5G2,
indicative,MCFTR,MCFTR,cce0530e-cc74-4506-89c0-fb4c753c3643,BBG00G6B6TB1,
indicative,MOEXOG,MOEXOG,cb58b054-84a6-4939-99b1-d0cab7e7d8d1,BBG000WBW6J0,
indicative,RUCBTRNS,RUCBTRNS,c3e72a08-0fc8-443d-a2bd-f68cb4ce9e9d,RUCBTRNS0000,
indicative,SSE,SSE Composite Index,970cd94e-6e5b-4f41-a79c-6fca90d3dc19,BBG0014NDKT2,
indicative,MOEXBTC,Индекс Биткоина,4ca26b9c-f96d-4bbb-9f7a-fd569367a97d,BBG00MOEXBTC,
indicative,SPXTR,S&P 500 Total Return,96f1ec69-f931-4c27-94a4-3355c9ecb32c,BBG000XPCGQ0,
indicative,DJX,1/100 Dow Jones,5882254a-df8d-40ad-932d-e5a1f566c306,BBG000NQ3HF9,
indicative,RUCNYTR,RUCNYTR,b7e486c0-ebd3-43ac-960c-75c250243ffd,RUCNYTR00000,
indicative,RURPLTR,RURPLTR,60d39322-bdc8-4518-a28c-5e516ef9564e,RURPLTR00000,
indicative,MOEXMM,MOEXMM,e130b83b-5c97-4b71-b638-f1c7faeaf5ae,BBG000WG2HZ0,
indicative,DJI,Dow Jones Industrial,4e4a6ed0-fd4f-45ff-992a-a4019a149974,BBG002SYCYV8,
indicative,RUFLCBCP,RUFLCBCP,20e86e93-263c-45ed-b01e-50c056ba83ae,RUFLCBCP0000,
indicative,RUSFAR3M,RUSFAR3M 3 месяца,eab7eda1-ffe2-4e4a-bea7-1e3a3d21c685,BBG0RUSFAR3M,
indicative,DXY,US Dollar Index,86f91e83-ee84-4266-b9c8-421a00801bcb,BBG013KKK3Q8,
indicative,RUCBITR,RUCBITR,02a5fb06-68fa-4331-9095-c41e558eb367,BBG000X6NX01,
indicative,WHEAT,WHEAT,d0168214-cf3f-423b-b477-e53a0a1dad5b,,
indicative,RUI,Russell 1000,4a27638a-4a82-4b0c-9833-9338bbc4eb8f,BBG00XK4B405,
indicative,RUCBRNTR,RUCBRNTR,78176ea1-7f02-4578-907a-638c9321e89f,RUCBRNTR0000,
indicative,MOEXBC,RTSS,62c241ce-b9a3-4944-9c52-86309a29dbba,BBG000Z32261,
indicative,RUFLCBTR,RUFLCBTR,6caa4785-df01-4244-8c51-0e4500a7b62b,RUFLCBTR0000,
indicative,TRTI,Tinkoff Russian Technology Index,88aef4d6-7ea8-444b-b327-fed4d4eabe1f,,
indicative,RUSFARCN1W,RUSFARCN1W 1 неделя,c6d8f812-639b-4b81-a555-c4df8573ac03,BBRUSFARCN1W,
indicative,RUCBKEYCP,RUCBKEYCP,ee2eeb8e-930c-45a8-a70b-68e9f6b1b614,RUCBKEYCP000,
indicative,MIPO,MIPO,dd9fb100-0d4d-4fee-b7d9-d0142e347f0b,RU000A108NY0,
indicative,RUSFAR,RUSFAR,29d27068-c4cd-4727-a4fd-ba516e6111a0,BBG000NJ9048,
indicative,RUT,Russell 2000,8bffd7b4-83a2-4f56-b6f8-4b2092e51b71,BBG000W4HRUT,
indicative,FVX,Treasury Yield 5 Years,5a15f660-c059-4c36-a296-c26af363711a,BBGFAKEFVX00,
indicative,IMOEX,Индекс МосБиржи,4821c9aa-36e8-4743-b37c-861e58581b25,BBG00KDWPPW2,
indicative,SPX,S&P 500,b86d65c6-4d96-458a-8a38-f100192d06c1,BBG001M4G6P6,
indicative,RGBI,Индекс Гособлигаций,fceffb27-3c51-4101-834c-d28c98ada458,BBG000V0SJ39,
indicative,DAX,DAX,7d700d7d-2358-4aba-85c5-d182e74c4b9c,BBG000HY4HW9,
indicative,RGBILP,Индекс Гособлигаций RGBILP,08c87aa9-a280-42f2-9168-127efe44187c,BBG00A10DKB9,
indicative,RVI,Индекс волатильности RVI,c83d74aa-4539-4f27-85f0-295511d50d63,BBG006BYNBP2,
indicative,VIX,Cboe Volatility Index,d63de5b3-848a-471e-a5d2-75e369a5aa15,BBG000JW9B77,
indicative,Nl,Никель,0baa5db8-d339-4ea2-9f64-312f2ee78e53,BBG000T3X898,usd
indicative,XAG,Серебро,7cf6a4a8-89cd-4d8b-92c1-0494c206a85c,BBG0013HGG49,usd
indicative,XAU,Золото,6a19f089-0f10-4b14-b972-3412a3c036a3,BBG0013HGFZ7,usd
indicative,LCOc1,Нефть Brent,046d2dbd-1594-4387-93c2-ed17b067b0f5,BBG000PGXPS4,usd
indicative,ETH,Эфириум,881e71ac-f268-47f7-a007-f42b5a534ba0,BBG00J3NBWD7,usd
indicative,XPD,Палладий,de01a468-25e4-4c04-90a8-bdb3baa59468,BBG0013HG945,usd
indicative,XPT,Платина,b803f44a-82f1-4549-9f82-927c8ef5c9e8,BBG0013HG9F3,usd
indicative,BTC,Биткоин,ab343971-4a2a-4913-af87-fa069e5eb622,BBG006FCL7J4,usd
indicative,ALMN,Алюминий,ac55d547-fdf2-437a-94c5-bce9a50feb83,BBG000M09F01,usd
indicative,NG,Природный газ,f1a6e1fb-04e4-4019-b643-691a74e68a58,BBG017V7QLH0,usd
indicative,SUGR,Сахар-сырец,5fb80080-8dff-47c7-a53c-9f55b173a873,BBG002T5LQB9,rub
indicative,Co,Медь,65bbbe1e-38f0-4cd1-93b9-62f04744a097,BBG0013HGXH8,usd
indicative,CL,Нефть Light Sweet Crude Oil,b752fff4-dcb5-4bcb-bf9b-9a9ebfd02a54,BBG014LS12D5,usd
